occupation,TotalEmployed,Women,Men,White,BlackAfricanAmerican,Asian,HispanicLatino,color_code,source,us_labor_occupation_names,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,UsedOccupations
teacher,6432,0.7343140547263682,0.2656859452736319,0.8026640236318409,0.11918703358208957,0.051960976368159204,0.11238339552238806,Overlap,21,Postsecondary teachers; Preschool and kindergarten teachers; Elementary and middle school teachers; Special education teachers; Other teachers and instructors,71.0,special ed teacher,71.0,primary school teacher,94.0,earth teacher,94,drama teacher,94.0,law enforcement teacher,94.0,preschool teacher,94.0,communications teacher,94.0,recreation and fitness studies teacher,94.0,biological science teacher,94.0,engineering teacher,94.0,self-enrichment teacher,94.0,law teacher,94.0,education teacher,94.0,technical education teacher,94.0,environmental science teacher,94.0,geography teacher,94.0,social work teacher,94.0,library science teacher,94.0,business teacher,94.0,anthropology teacher,94.0,psychology teacher,94.0,religion teacher,94.0,music teacher,94.0,mathematical science teacher,94.0,career education teacher,94.0,"area, ethnic, and cultural studies teacher",94.0,postsecondary teacher,94.0,archeology teacher,94.0,criminal justice teacher,94.0,forestry teacher,94.0,nursing teacher,94.0,kindergarten teacher,94.0,history teacher,94.0,foreign language and literature teacher,94.0,space sciences teacher,94.0,economics teacher,94.0,political science teacher,94.0,health specialties teacher,94.0,marine teacher,94.0,art teacher,94.0,atmospheric teacher,94.0,architecture teacher,94.0,social sciences teacher,94.0,middle school teacher,94.0,conservation science teacher,94.0,chemistry teacher,94.0,sociology teacher,94.0,english language and literature teacher,94.0,secondary school teacher,94.0,physics teacher,94.0,educator,94.0,yoga instructor,94.0,nursing instructor,94.0,group fitness instructor,94_m,dance instructor,94.0,farm and home management educator,94.0,substitute,94.0,health education specialist,Postsecondary teachers; Preschool and kindergarten teachers; Elementary and middle school teachers; Special education teachers; Other teachers and instructors
director,245,0.5114530612244897,0.48854693877551025,0.7890367346938776,0.12131836734693877,0.04917959183673469,0.10649795918367347,Good,21,"Emergency management directors; Directors, religious activities and education; Producers and directors; Music directors and composers",21.0,company director,21.0,film director,94.0,emergency management director,94,music director,94.0,athletic director,94.0,art director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Directors, religious activities and education; Producers and directors"
professor,1013,0.466,0.534,0.785,0.084,0.109,0.079,Overlap,21,Postsecondary teachers,94.0,associate professor,94.0,adjunct professor,94.0,economics professor,94,assistant professor,94.0,professor emeritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postsecondary teachers
judge,76,0.465,0.5349999999999999,0.723,0.262,0.0,0.11199999999999999,Good,21,"Judges, magistrates, and other judicial workers",94.0,magistrate judge,94.0,administrative law judge,94.0,magistrate,94,adjudicator,94.0,hearing officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Judges, magistrates, and other judicial workers"
therapist,1047,0.7965711556829036,0.20342884431709649,0.8333915950334289,0.08985482330468003,0.04704202483285578,0.08791212989493791,Good,54,"Occupational therapists; Physical therapists; Radiation therapists; Recreational therapists; Respiratory therapists; Speech-language pathologists; Exercise physiologists; Therapists, all other",54.0,occupational therapist,94.0,recreational therapist,94.0,radiation therapist,94,respiratory therapist,94.0,marriage and family therapist,54.0,physical therapist,54.0,massage therapist,94.0,physical therapist assistant,94.0,occupational therapy assistant,94.0,physical therapist aide,54.0,language pathologist,94.0,occupational therapy aide,94.0,school psychologist,94.0,speech-language pathologist,94.0,exercise physiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Occupational therapists; Physical therapists; Respiratory therapists; Speech-language pathologists; Therapists, all other"
butcher,243,0.276,0.724,0.72,0.163,0.073,0.366,Good,5,"Butchers and other meat, poultry, and fish processing workers",94.0,meat cutter,94.0,"meat, poultry, and fish cutter",94.0,"meat, poultry, and fish trimmer",94,meat packer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butchers and other meat, poultry, and fish processing workers"
chef,476,0.233,0.767,0.588,0.18899999999999997,0.185,0.207,Good,5,Chefs and head cooks,54.0,head cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chefs and head cooks
cook,2016,0.39799999999999996,0.6020000000000001,0.691,0.172,0.07,0.396,Good,5,Cooks,94.0,food preparation worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooks
dentist,164,0.395,0.605,0.772,0.043,0.145,0.08,Good,5,Dentists,54.0,dental assistant,54.0,dental hygienist,94.0,orthodontist,94,prosthodontist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dentists
pilot,211,0.083,0.917,0.924,0.036000000000000004,0.027000000000000003,0.107,Good,5,Aircraft pilots and flight engineers,94.0,copilot,94.0,commercial pilot,94.0,flight engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft pilots and flight engineers
